YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1894  999.9   -1.2    7.6   10.0   17.1   20.7   22.7   22.4   20.2   12.4    3.7    1.4   999.9    11.6    21.9    12.1   11.36
1895   -3.8  999.9  999.9   11.2   16.6   22.1  999.9  999.9  999.9  999.9  999.9  999.9    -1.3    10.9   999.9   999.9  999.90
1896  999.9  999.9  999.9   12.5   20.0   20.4   23.0  999.9  999.9    9.1    7.5    0.1   999.9    13.2    21.7    11.5   11.63
1897   -3.4    0.0    5.6    9.8   14.0   18.7   23.6  999.9   18.2   13.1    6.0    1.5    -1.1     9.8    21.2    12.4   10.58
1898    0.7   -1.3    7.4    7.7   17.2   21.7   24.2   23.3   19.5   12.5    4.9   -0.4     0.3    10.8    23.1    12.3   11.61
1899   -1.2   -3.3    4.5   11.9   17.6   22.3   22.8   22.8   17.6   13.8    6.3   -0.1    -1.6    11.3    22.6    12.6   11.23
1900    0.0   -2.4    1.1   10.2   16.8   21.6   23.5   24.8   21.2   15.6    6.5    0.4    -0.8     9.4    23.3    14.4   11.57
1901   -0.3   -5.0    4.0    9.3   16.6   20.7   25.7   23.8   18.5   12.3    2.7   -0.2    -1.6    10.0    23.4    11.2   10.73
1902   -1.7   -4.0    6.2    9.4   17.4   20.2   23.7   20.8   18.0   13.0   10.0   -0.5    -2.0    11.0    21.6    13.7   11.07
1903   -1.6    0.3    9.3   10.8   17.9   18.7   22.7   21.1   18.2   12.7    2.8   -3.2    -0.6    12.7    20.8    11.2   11.03
1904   -5.2   -5.0    3.7    7.7   16.9   21.3   22.1   21.0   18.8   11.6    4.9   -2.1    -4.5     9.4    21.5    11.8    9.55
1905   -4.2   -5.5  999.9  999.9   17.2   21.7   22.9  999.9  999.9  999.9    4.1    1.2    -3.9   999.9    22.3   999.9  999.90
1906    1.7   -1.4    1.2   10.9   16.8   21.6   22.7   24.3   20.7   11.9    6.2    0.4     0.5     9.6    22.9    12.9   11.48
1907    0.7   -3.3    6.8    6.5   14.2   18.4   23.0   20.4   19.1    9.9    4.7    0.8    -0.7     9.2    20.6    11.2   10.07
1908   -1.5   -3.1    6.3   10.7   17.1   21.6   24.5   22.2   19.5   12.4    5.6    1.4    -1.3    11.4    22.8    12.5   11.34
1909    0.8    2.8    2.6    9.6   16.3  999.9  999.9   21.7  999.9  999.9    8.6   -2.9     1.7     9.5   999.9   999.9  999.90
1910   -1.4  999.9  999.9  999.9   14.2   19.1   23.7  999.9   20.8   13.9    2.8   -2.9    -2.3   999.9    21.4    12.5   10.31
