YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1900  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   15.3    8.3    0.8   999.9   999.9   999.9    14.9  999.90
1901   -0.4   -2.7    5.3    8.2   16.4   21.1   25.7   23.2   18.5   12.1    3.8   -0.6    -0.8    10.0    23.3    11.5   11.00
1902   -1.8   -3.8    6.5   10.5   19.3   22.4   25.1   22.0   18.6   13.7    9.9   -0.2    -2.1    12.1    23.2    14.1   11.82
1903   -0.9    1.2    9.2   11.1   17.4   18.9   23.8   21.8   18.4   13.3    4.3   -1.8     0.0    12.6    21.5    12.0   11.53
1904   -5.0  999.9  999.9    8.8   17.5   21.4   23.1   21.6   19.5   11.7    4.7   -3.3    -3.3    10.4    22.0    12.0   10.27
1905   -3.9   -4.3    6.3   11.1   17.7   21.4   23.8   22.3   19.7   13.3    5.8    1.3    -3.8    11.7    22.5    12.9   10.82
1906    3.6   -0.3    1.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9     1.5   999.9   999.9   999.9  999.90
1907  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1908  999.9  999.9    7.5   12.1   17.4   21.1   24.3   21.5   18.7   13.9    6.2    1.6   999.9    12.3    22.3    12.9   12.10
1909   -0.1    4.4    5.3   11.1   17.0   21.8   23.4   22.6   18.3   10.8    9.2   -2.4     2.0    11.1    22.6    12.8   12.12
1910   -1.7   -0.4   10.0   13.1   15.4   20.0   24.3   22.5   21.2   14.9    4.0   -3.7    -1.5    12.8    22.3    13.4   11.74
1911    1.4    1.2    3.2   10.0   20.5   21.2   24.6   23.5   19.6   13.0    5.3    4.4    -0.4    11.2    23.1    12.6   11.65
1912   -6.6   -3.0    3.9   12.9   18.5   20.0   23.5   21.4   20.2   13.4    6.9    2.1    -1.7    11.8    21.6    13.5   11.29
1913    4.0    1.4    8.1   12.4   16.4   21.5   24.0   22.3   18.3   13.5    7.5    3.7     2.5    12.3    22.6    13.1   12.62
1914    1.5   -3.3    2.5   10.6   18.4   22.4   23.6   23.2   17.8   15.2    6.0   -1.5     0.6    10.5    23.1    13.0   11.80
1915    0.1    2.0    2.7   14.3   16.4   20.8   24.0   22.5   20.7   13.7    6.6    0.1     0.2    11.1    22.4    13.7   11.86
1916    2.1    0.3    2.1   11.2   18.3   19.5   24.2   23.2   17.8   12.0    6.8    0.2     0.8    10.5    22.3    12.2   11.47
1917    0.0   -0.6    4.9   10.6   14.9   21.3   24.5   22.9   16.7    9.7    5.5   -4.6    -0.1    10.1    22.9    10.6   10.88
1918   -5.9    1.0    8.1   10.2   20.5   20.0  999.9  999.9  999.9  999.9  999.9  999.9    -3.2    12.9   999.9   999.9  999.90
1919  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1920  999.9  999.9  999.9  999.9  999.9  999.9   22.6  999.9   20.0   16.5    6.3    2.0   999.9   999.9   999.9    14.3  999.90
1921    1.0    2.7   11.1   14.3   16.2   22.2  999.9   21.6   22.3   13.5    7.6    1.2     1.9    13.9    22.4    14.5   13.17
1922   -2.1    2.0    6.0   11.2   18.0   22.7   23.6   21.5   20.4   14.5    7.3    1.5     0.4    11.7    22.6    14.1   12.19
1923    0.5   -2.0    6.0   10.6   16.0   23.2   23.8   22.2   19.4   12.4    5.8    5.5     0.0    10.9    23.1    12.5   11.62
1924   -0.4   -1.1    4.6    9.3   14.4   21.0   22.1   22.9   16.5   14.0  999.9  999.9     1.3     9.4    22.0    12.2   11.24
1925   -1.7    3.5    6.8   12.2   14.5   24.7  999.9   22.4   22.1    9.6    5.1    1.2     1.2    11.2    24.1    12.3   12.19
1926   -0.8    0.9    3.5    8.9   17.6   19.4  999.9   23.5   19.5   12.6    5.6   -0.7     0.4    10.0    22.0    12.6   11.25
1927   -0.3    3.4    7.4    9.1  999.9  999.9   23.9  999.9   21.1   15.0    9.9    2.5     0.8    11.0   999.9    15.3   12.66
1928    1.5    1.4    5.0    9.2   16.2   20.1   24.4   23.2   16.8   13.9    7.7    2.9     1.8    10.1    22.6    12.8   11.82
1929   -0.9   -0.1    8.7   13.0   16.4   21.3   22.9   22.1   20.2   12.2    7.1    2.1     0.6    12.7    22.1    13.2   12.15
1930    0.7    3.7    5.7   10.4   18.4   22.3   25.5   24.6   23.6   12.4    7.4   -0.2     2.2    11.5    24.1    14.5   13.07
1931    2.0    2.2    3.2   10.1   16.5   22.5   26.4   23.2   22.0   14.9   11.0    4.9     1.3     9.9    24.0    16.0   12.82
1932    6.5    5.0    2.8    9.8   17.0   21.8   24.6   24.5   20.7   12.8    5.7    2.5     5.5     9.9    23.6    13.1   13.01
1933    4.5    1.6    4.1   11.0   18.5   22.8   23.6   23.6   21.1   12.9    5.5    2.4     2.9    11.2    23.3    13.2   12.64
1934    2.6   -5.5    3.3   10.7   18.1   24.0   25.9   22.7   19.9   12.4    8.2    1.0    -0.2    10.7    24.2    13.5   12.06
1935   -1.7   -0.4    7.9    9.1   14.9   21.3   25.7   23.6   18.0   13.0    8.2   -1.9    -0.4    10.6    23.5    13.1   11.72
1936   -3.3   -3.9    7.6    9.1   17.9   21.0   25.3   24.9   20.5   14.2    5.3    1.7    -3.0    11.5    23.7    13.3   11.39
1937    4.0   -0.1    4.0    9.8   17.4   22.5   23.4   24.1   17.6   11.0    6.9    1.2     1.9    10.4    23.3    11.8   11.86
1938   -0.3    3.7    7.8   11.7   16.4   21.2   24.7   24.9   18.4   13.8    8.2    0.8     1.5    12.0    23.6    13.5   12.64
1939    1.1    3.2    6.4    9.5   18.6   22.6   23.2   24.9   19.0   13.4    6.1    2.6     1.7    11.5    23.6    12.8   12.40
1940   -6.1    0.5    2.8    8.4   16.4   22.0   24.2   21.7   17.4   11.6    6.3    3.7    -1.0     9.2    22.6    11.8   10.65
1941   -1.0   -0.9    2.9   13.8   18.0   21.4   23.8   22.6   21.2   16.5    8.5    3.4     0.6    11.6    22.6    15.4   12.54
1942   -0.5   -0.6    6.7   12.5   18.5   21.9   24.2   22.3   18.8   13.7    7.4   -0.6     0.8    12.6    22.8    13.3   12.36
1943    0.2    1.7    5.3    8.6   17.5   24.7   24.1   24.5   18.3   12.4    6.0    1.0     0.4    10.5    24.4    12.2   11.89
1944    1.1    1.1    3.8    9.7   20.1   22.6   24.1   23.7   19.7   12.6    6.8   -0.9     1.1    11.2    23.5    13.0   12.19
1945   -2.9    1.0   11.8   13.0   15.6   21.5   23.3   22.2   20.9   12.6    7.2   -1.5    -0.9    13.5    22.3    13.6   12.11
1946    0.5    1.5   10.1   11.3   16.6   20.5   23.1   20.8   19.5   14.8    8.8    3.8     0.2    12.7    21.5    14.4   12.17
1947    3.5   -2.2    2.0   12.1   16.2   20.5   22.0   24.1   19.3   16.4    5.7    0.5     1.7    10.1    22.2    13.8   11.95
1948   -3.6    0.8    7.5   11.7   16.8   21.7   23.0   22.5   18.8   11.7    9.1    2.4    -0.8    12.0    22.4    13.2   11.71
1949    4.1    4.1    6.3   11.3   17.0   21.9   25.4   23.1   17.1   15.5    6.6    2.8     3.5    11.5    23.5    13.1   12.90
1950    5.4    1.1    3.4    9.2   16.5   20.8   22.1   22.5   17.6  999.9    6.2   -0.5     3.1     9.7    21.8    11.9   11.62
1951    1.1    1.7    5.1   11.1   16.7   21.1   23.8   22.9   18.3   10.6    3.1    2.1     0.8    11.0    22.6    10.7   11.25
1952    2.5    2.6    4.3   11.7   15.9   23.0   25.1   22.6   18.5   10.8    6.8    1.5     2.4    10.6    23.6    12.0   12.16
1953    2.7    4.0    6.7   10.8   19.0   21.6   24.5   23.1   18.9   14.5    7.0    2.6     2.7    12.2    23.1    13.5   12.86
1954    0.4    4.1    5.4   13.3   14.9   21.8   23.6  999.9  999.9  999.9  999.9  999.9     2.4    11.2    22.8   999.9   12.49
1955  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   -1.6   999.9   999.9   999.9   999.9  999.90
1956   -0.7    2.4    4.6    9.5   15.8   21.2   22.6   22.1   17.4   13.5    6.8    5.6     0.0    10.0    22.0    12.6   11.13
1957   -1.5    2.9    5.7   13.1   17.5   21.9   22.5   22.3   19.7   10.9    7.4    2.9     2.3    12.1    22.2    12.7   12.33
1958   -0.6   -2.2    3.5   11.5   16.2   19.7   24.0   21.9  999.9   13.8    7.8   -2.2     0.0    10.4    21.9    13.9   11.54
1959   -1.5    1.6    4.9   12.1   18.3   21.1   23.4   24.3   20.7   14.1    5.5    2.9    -0.7    11.8    22.9    13.4   11.86
1960    0.8    0.1   -0.8   13.5   15.3   20.8   22.3   23.5   18.7   12.5    7.2   -2.9     1.3     9.3    22.2    12.8   11.40
1961   -3.1    1.2    6.6    8.2   13.8   20.8   23.8   23.2   21.5   13.3    8.0    0.4    -1.6     9.5    22.6    14.3   11.20
1962   -0.3   -1.0    4.3   11.3   18.4   20.9   21.4   22.2   16.8   13.8    4.8   -1.2    -0.3    11.3    21.5    11.8   11.08
1963   -3.0   -3.2    6.8   11.6   16.7   21.0   23.5   21.8   17.3   15.1    7.5   -2.6    -2.5    11.7    22.1    13.3   11.16
1964    0.4   -0.1    5.6    9.7   17.6   22.5   24.1   21.8   18.3   10.9  999.9  999.9    -0.8    11.0    22.8    11.6   11.14
1965   -1.9    1.1    3.5   10.0   19.4   20.3   23.4   23.0   20.1   11.7    6.6  999.9    -0.1    11.0    22.2    12.8   11.49
1966   -2.8   -0.4    6.6    8.3   15.5  999.9   24.7   24.3   17.8   11.2    5.9    1.2    -1.3    10.1    23.9    11.6   11.09
1967    2.8   -1.7    5.6   12.1   13.1   21.6   22.5   21.6   17.0   11.9    5.4    2.7     0.8    10.3    21.9    11.4   11.09
1968   -3.2   -1.3    7.9   12.3   14.0   20.7   23.2   23.5   19.5   13.5    6.5    0.2    -0.6    11.4    22.5    13.2   11.61
1969   -2.7   -0.4    3.3   12.3   16.9   21.7   23.9   22.0   18.0   12.0    5.0   -0.5    -1.0    10.8    22.5    11.7   11.02
1970   -4.2    0.2    3.0   10.8   17.8   20.8   23.1   22.7   20.4   14.0    6.7    1.9    -1.5    10.5    22.2    13.7   11.23
1971   -3.3    1.2    3.9    9.9   14.8   22.5   22.7   21.7   19.3   15.5    6.0    5.0    -0.1     9.5    22.3    13.6   11.34
1972    1.8   -0.6    5.3    9.6   15.6   18.9   23.3   21.7   18.7   10.9    5.9    3.2     2.1    10.2    21.3    11.8   11.34
1973    1.2    0.2    9.0    9.9   14.4   21.8   23.1   23.4   20.2   13.6    8.7    2.3     1.5    11.1    22.8    14.2   12.39
1974    3.6    0.7    7.1   12.4  999.9  999.9   22.4   22.5  999.9  999.9    7.4    2.9     2.2    12.5    21.8   999.9   12.55
1975    2.1  999.9    4.1    8.4   17.7   20.9   22.9   23.6  999.9   14.1    9.5    1.0     2.6    10.1    22.5    14.9   12.50
1976   -2.2    6.2    7.5   12.4   14.6   21.7   21.7   21.1   18.1   10.1    4.1   -1.1     1.7    11.5    21.5    10.8   11.36
1977   -6.0    1.3    8.8   12.3   17.8   19.9   24.3   23.0   20.2   11.2    7.2   -0.6    -1.9    13.0    22.4    12.9   11.57
1978   -3.8   -4.2    3.6   10.8   15.4   21.1   22.6   23.9   20.1   11.9    7.7    2.8    -2.9     9.9    22.5    13.2   10.71
1979   -2.0   -4.8    7.4   10.1   16.1   19.6   22.3   22.4   17.9   12.0    9.0    3.3    -1.3    11.2    21.4    13.0   11.07
